sales_account,product,category,status,normalized_sales_account,normalized_product
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 130,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 130
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 140,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 140
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 150,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 150
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 160,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 160
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 170,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 170
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 180,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 180
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 190,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 190
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 20,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 20
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 25,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 25
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 30,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 30
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 35,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 35
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 40,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 40
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 45,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 45
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 50,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 50
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 60,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 60
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 70,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 70
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 80,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 80
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 90,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 90
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 1,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 1
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 10,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 10
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 14,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 14
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 2,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 2
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 30,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 30
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 5,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 5
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 6,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 6
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 7,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 7
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 8,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 8
JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 9,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RC 9
JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 10,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 10
JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 15,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 15
JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 20,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 20
JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 25,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 25
JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 30,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 30
JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 50,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DIAMONDS LOOSE DI. RA 50
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 1,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 1
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 10,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 10
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 11,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 11
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 12,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 12
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 13,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 13
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 14,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 14
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 15,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 15
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 16,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 16
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 17,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 17
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 18,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 18
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 19,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 19
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 2,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 2
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 20,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 20
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 3,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 3
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 4,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 4
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 5,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 5
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 6,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 6
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 7,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 7
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 8,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 8
JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 9,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,FLAT POLKI FP 9
JEWEL SALES ACCOUNT - DIAMONDS,POLKI A,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,POLKI A
JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 200,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 200
JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 225,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 225
JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 250,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 250
JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 275,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,SD DI. 275
JEWEL SALES ACCOUNT - DIAMONDS,SD DI. MIX,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,SD DI. MIX
JEWELS SALES ACCOUNT - COLOR STONES,CUSTOMER STONES,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,CUSTOMER STONES
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 50,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 50
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 150,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 150
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 250,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 250
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 350,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 350
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 450,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 450
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 550,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 550
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 650,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 650
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 750,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 750
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 850,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 850
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 950,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 950
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 1900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 2900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3100,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3100
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3300,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3300
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3700,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 3700
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4200,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4200
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4400,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4400
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4800,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4800
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4900,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 4900
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 5000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 5000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 5500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 5500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 5600,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 5600
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 6000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 6000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 6500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 6500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 7000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 7000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 7500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 7500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 8000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 8000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 8500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 8500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 10000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 10000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 11000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 11000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 12000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 12000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 14000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 14000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 16000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 16000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 17000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 17000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 17500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 17500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 20000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 20000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 25000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 25000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 38500,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 38500
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 45000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 45000
JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 49000,COLOR STONES,ACTIVE,JEWELS SALES ACCOUNT - COLOR STONES,PRECIOUS STONES JOS 49000
