row_number,source_row_id,voucher_text,voucher_norm,sales_account,sales_account_norm,product,product_norm
3799,3799,JH/2526/ 314,JH2526314,,,,
3800,3800,JH/2526/ 316,JH2526316,,,,
3801,3801,JH/S/2526/ 30,JHS252630,,,,
3802,3802,JH/2526/ 338,JH2526338,,,,
3803,3803,JH/S/2526/ 32,JHS252632,,,,
3804,3804,JH/S/2526/ 33,JHS252633,,,,
3805,3805,JH/2526/ 440,JH2526440,,,,
3806,3806,JH/2526/ 455,JH2526455,,,,
3807,3807,JH/S/2526/ 34,JHS252634,,,,
3808,3808,JH/S/2526/ 35,JHS252635,,,,
3809,3809,JH/S/2526/ 36,JHS252636,,,,
3810,3810,JH/S/2526/ 37,JHS252637,,,,
3811,3811,JH/S/2526/ 39,JHS252639,,,,
3812,3812,JH/2526/ 481,JH2526481,,,,
3813,3813,JH/2526/ 505,JH2526505,,,,
3814,3814,JH/2526/ 510,JH2526510,,,,
3815,3815,JH/2526/ 516,JH2526516,,,,
3816,3816,JH/S/2526/ 40,JHS252640,,,,
3817,3817,JH/S/2526/ 43,JHS252643,,,,
3818,3818,JH/S/2526/ 44,JHS252644,,,,
3819,3819,JH/S/2526/ 45,JHS252645,,,,
3820,3820,JH/2526/ 571,JH2526571,,,,
3821,3821,JH/S/2526/ 47,JHS252647,,,,
3822,3822,JH/S/2526/ 48,JHS252648,,,,
3823,3823,JH/2526/ 606,JH2526606,,,,
3824,3824,JH/2526/ 621,JH2526621,,,,
3825,3825,JH/2526/ 637,JH2526637,,,,
3826,3826,JH/2526/ 643,JH2526643,,,,
3827,3827,JH/2526/ 644,JH2526644,,,,
3828,3828,JH/2526/ 645,JH2526645,,,,
3829,3829,JH/S/2526/ 53,JHS252653,,,,
3830,3830,JH/S/2526/ 55,JHS252655,,,,
3831,3831,JH/S/2526/ 56,JHS252656,,,,
3832,3832,JH/S/2526/ 57,JHS252657,,,,
3833,3833,JH/2526/ 659,JH2526659,,,,
3834,3834,JH/2526/ 660,JH2526660,,,,
3835,3835,JH/2526/ 663,JH2526663,,,,
3836,3836,JH/2526/ 664,JH2526664,,,,
3837,3837,JH/RI/2526/ 2,JHRI25262,,,,
3838,3838,JH/S/2526/ 58,JHS252658,,,,
3839,3839,JH/S/2526/ 60,JHS252660,,,,
3840,3840,JH/S/2526/ 63,JHS252663,,,,
3841,3841,JH/S/2526/ 64,JHS252664,,,,
3842,3842,JH/S/2526/ 66,JHS252666,,,,
3843,3843,JH/2526/ 695,JH2526695,,,,
3844,3844,JH/S/2526/ 67,JHS252667,,,,
3845,3845,JH/S/2526/ 68,JHS252668,,,,
3846,3846,JH/S/2526/ 69,JHS252669,,,,
3847,3847,JH/S/2526/ 71,JHS252671,,,,
3848,3848,JH/2526/ 734,JH2526734,,,,
3849,3849,JH/2526/ 758,JH2526758,,,,
3850,3850,JH/2526/ 761,JH2526761,,,,
3851,3851,JH/B/2526/ 3,JHB25263,,,,
3852,3852,JH/B/2526/ 4,JHB25264,,,,
3853,3853,JH/2526/ 783,JH2526783,,,,
3854,3854,JH/2526/ 794,JH2526794,,,,
3855,3855,JH/2526/ 802,JH2526802,,,,
3856,3856,JH/2526/ 816,JH2526816,,,,
3857,3857,JH/S/2526/ 73,JHS252673,,,,
3858,3858,JH/S/2526/ 74,JHS252674,,,,
3859,3859,JH/S/2526/ 75,JHS252675,,,,
3860,3860,JH/S/2526/ 76,JHS252676,,,,
3861,3861,JH/S/2526/ 77,JHS252677,,,,
3862,3862,JH/S/2526/ 81,JHS252681,,,,
3863,3863,JH/2526/ 892,JH2526892,,,,
3864,3864,JH/S/2526/ 82,JHS252682,,,,
3865,3865,JH/S/2526/ 83,JHS252683,,,,
3866,3866,JH/S/2526/ 85,JHS252685,,,,
3867,3867,JH/S/2526/ 87,JHS252687,,,,
3868,3868,JH/S/2526/ 88,JHS252688,,,,
3869,3869,JH/2526/ 909,JH2526909,,,,
3870,3870,JH/2526/ 919,JH2526919,,,,
3871,3871,JH/2526/ 920,JH2526920,,,,
3872,3872,JH/2526/ 921,JH2526921,,,,
3873,3873,JH/2526/ 923,JH2526923,,,,
3874,3874,JH/2526/ 924,JH2526924,,,,
3875,3875,JH/2526/ 926,JH2526926,,,,
3876,3876,JH/2526/ 927,JH2526927,,,,
3877,3877,JH/2526/ 928,JH2526928,,,,
3878,3878,JH/2526/ 929,JH2526929,,,,
3879,3879,JH/2526/ 930,JH2526930,,,,
3880,3880,JH/2526/ 932,JH2526932,,,,
3881,3881,JH/2526/ 934,JH2526934,,,,
3882,3882,JH/2526/ 935,JH2526935,,,,
3883,3883,JH/2526/ 937,JH2526937,,,,
3884,3884,JH/2526/ 938,JH2526938,,,,
3885,3885,JH/RI/2526/ 5,JHRI25265,,,,
3886,3886,JH/S/2526/ 89,JHS252689,,,,
3887,3887,JH/S/2526/ 90,JHS252690,,,,
3888,3888,JH/S/2526/ 91,JHS252691,,,,
3889,3889,JH/S/2526/ 93,JHS252693,,,,
3890,3890,JH/S/2526/ 94,JHS252694,,,,
3891,3891,JH/2526/ 940,JH2526940,,,,
3892,3892,JH/2526/ 942,JH2526942,,,,
3893,3893,JH/2526/ 954,JH2526954,,,,
3894,3894,JH/B/2526/ 5,JHB25265,,,,
3895,3895,JH/2526/ 1002,JH25261002,,,,
3896,3896,JH/2526/ 1034,JH25261034,,,,
3897,3897,JH/2526/ 1039,JH25261039,,,,
3898,3898,JH/2526/ 1046,JH25261046,,,,
3899,3899,JH/B/2526/ 6,JHB25266,,,,
3900,3900,JH/B/2526/ 7,JHB25267,,,,
3901,3901,JH/B/2526/ 8,JHB25268,,,,
3902,3902,JH/B/2526/ 9,JHB25269,,,,
3903,3903,JH/B/2526/ 10,JHB252610,,,,
3904,3904,JH/B/2526/ 11,JHB252611,,,,
3905,3905,JH/B/2526/ 12,JHB252612,,,,
3906,3906,JH/B/2526/ 13,JHB252613,,,,
3907,3907,JH/B/2526/ 14,JHB252614,,,,
3908,3908,JH/S/2526/ 102,JHS2526102,,,,
3909,3909,JH/2526/ 1061,JH25261061,,,,
3910,3910,JH/2526/ 1082,JH25261082,,,,
3911,3911,JH/2526/ 1088,JH25261088,,,,
3912,3912,JH/2526/ 1095,JH25261095,,,,
