row_number,source_row_id,voucher_text,voucher_norm,sales_account,sales_account_norm,product,product_norm,sales_account_exists,product_exists,exact_mapping_exists,is_business_skip_row
27,27,JH/2526/ 932,JH2526932,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
28,28,JH/2526/ 965,JH2526965,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
29,29,JH/2526/ 971,JH2526971,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
30,30,JH/2526/ 985,JH2526985,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
31,31,JH/2526/ 1018,JH25261018,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
32,32,JH/2526/ 1088,JH25261088,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
33,33,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
34,34,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
35,35,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
36,36,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
37,37,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
38,38,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
39,39,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,CUSTOMER DIAMONDS,true,true,true,false
40,40,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - EMERALDS,JEWELS SALES ACCOUNT - EMERALDS,CUSTOMER EMERALDS,CUSTOMER EMERALDS,true,true,true,false
41,41,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - EMERALDS,JEWELS SALES ACCOUNT - EMERALDS,CUSTOMER EMERALDS,CUSTOMER EMERALDS,true,true,true,false
42,42,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - EMERALDS,JEWELS SALES ACCOUNT - EMERALDS,CUSTOMER EMERALDS,CUSTOMER EMERALDS,true,true,true,false
43,43,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - EMERALDS,JEWELS SALES ACCOUNT - EMERALDS,CUSTOMER EMERALDS,CUSTOMER EMERALDS,true,true,true,false
44,44,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - EMERALDS,JEWELS SALES ACCOUNT - EMERALDS,CUSTOMER EMERALDS,CUSTOMER EMERALDS,true,true,true,false
45,45,JH/2526/ 1036,JH25261036,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER FLAT POLKI,CUSTOMER FLAT POLKI,true,true,true,false
46,46,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 18K,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,CUSTOMER GOLD ORNAMENTS 18K,true,true,true,false
47,47,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 18K,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,CUSTOMER GOLD ORNAMENTS 18K,true,true,true,false
48,48,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 18K,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,CUSTOMER GOLD ORNAMENTS 18K,true,true,true,false
49,49,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 18K,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,CUSTOMER GOLD ORNAMENTS 18K,true,true,true,false
50,50,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 18K,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,CUSTOMER GOLD ORNAMENTS 18K,true,true,true,false
51,51,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 18K,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,CUSTOMER GOLD ORNAMENTS 18K,true,true,true,false
52,52,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K,CUSTOMER GOLD ORNAMENTS 22K,true,true,true,false
53,53,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K,CUSTOMER GOLD ORNAMENTS 22K,true,true,true,false
54,54,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K,CUSTOMER GOLD ORNAMENTS 22K,true,true,true,false
55,55,JH/2526/ 1036,JH25261036,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K,CUSTOMER GOLD ORNAMENTS 22K,true,true,true,false
56,56,JH/2526/ 1047,JH25261047,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K,CUSTOMER GOLD ORNAMENTS 22K,true,true,true,false
57,57,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - PEARLS,JEWELS SALES ACCOUNT - PEARLS,CUSTOMER PEARLS,CUSTOMER PEARLS,true,true,true,false
58,58,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - PEARLS,JEWELS SALES ACCOUNT - PEARLS,CUSTOMER PEARLS,CUSTOMER PEARLS,true,true,true,false
59,59,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - PEARLS,JEWELS SALES ACCOUNT - PEARLS,CUSTOMER PEARLS,CUSTOMER PEARLS,true,true,true,false
60,60,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - RUBIES,JEWELS SALES ACCOUNT - RUBIES,CUSTOMER RUBIES,CUSTOMER RUBIES,true,true,true,false
61,61,JH/2526/ 1036,JH25261036,JEWELS SALES ACCOUNT - RUBIES,JEWELS SALES ACCOUNT - RUBIES,CUSTOMER RUBIES,CUSTOMER RUBIES,true,true,true,false
62,62,JH/2526/ 48,JH252648,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
63,63,JH/B/2526/ 2,JHB25262,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
64,64,JH/2526/ 140,JH2526140,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
65,65,JH/2526/ 143,JH2526143,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
66,66,JH/2526/ 240,JH2526240,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
67,67,JH/2526/ 286,JH2526286,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
68,68,JH/2526/ 286,JH2526286,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
69,69,JH/2526/ 286,JH2526286,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
70,70,JH/2526/ 377,JH2526377,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
71,71,JH/2526/ 403,JH2526403,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
72,72,JH/2526/ 403,JH2526403,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
73,73,JH/2526/ 472,JH2526472,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
74,74,JH/2526/ 525,JH2526525,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
75,75,JH/2526/ 529,JH2526529,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
76,76,JH/2526/ 541,JH2526541,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
77,77,JH/2526/ 581,JH2526581,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
78,78,JH/2526/ 582,JH2526582,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
79,79,JH/2526/ 583,JH2526583,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
80,80,JH/2526/ 588,JH2526588,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
81,81,JH/2526/ 589,JH2526589,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
82,82,JH/2526/ 631,JH2526631,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
83,83,JH/2526/ 712,JH2526712,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
84,84,JH/2526/ 777,JH2526777,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
85,85,JH/2526/ 791,JH2526791,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
86,86,JH/2526/ 801,JH2526801,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
87,87,JH/2526/ 813,JH2526813,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
88,88,JH/2526/ 813,JH2526813,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
89,89,JH/2526/ 813,JH2526813,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
90,90,JH/2526/ 813,JH2526813,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
91,91,JH/2526/ 813,JH2526813,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
92,92,JH/2526/ 827,JH2526827,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
93,93,JH/2526/ 845,JH2526845,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
94,94,JH/2526/ 861,JH2526861,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
95,95,JH/2526/ 868,JH2526868,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
96,96,JH/2526/ 868,JH2526868,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
97,97,JH/2526/ 886,JH2526886,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
98,98,JH/2526/ 900,JH2526900,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
99,99,JH/2526/ 906,JH2526906,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
100,100,JH/2526/ 908,JH2526908,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
101,101,JH/2526/ 917,JH2526917,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
102,102,JH/2526/ 917,JH2526917,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
103,103,JH/2526/ 931,JH2526931,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
104,104,JH/2526/ 949,JH2526949,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
105,105,JH/2526/ 958,JH2526958,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
106,106,JH/2526/ 964,JH2526964,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
107,107,JH/2526/ 999,JH2526999,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
108,108,JH/2526/ 1017,JH25261017,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
109,109,JH/2526/ 1021,JH25261021,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
110,110,JH/2526/ 1032,JH25261032,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
111,111,JH/2526/ 1044,JH25261044,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
112,112,JH/B/2526/ 13,JHB252613,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
113,113,JH/2526/ 1050,JH25261050,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
114,114,JH/2526/ 1076,JH25261076,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
115,115,JH/2526/ 1079,JH25261079,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
116,116,JH/2526/ 1079,JH25261079,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DI. RA 10,true,true,true,false
117,117,JH/2526/ 66,JH252666,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
118,118,JH/2526/ 66,JH252666,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
119,119,JH/2526/ 66,JH252666,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
120,120,JH/2526/ 66,JH252666,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
121,121,JH/2526/ 473,JH2526473,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
122,122,JH/2526/ 650,JH2526650,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
123,123,JH/2526/ 916,JH2526916,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DI. RA 100,true,true,true,false
124,124,JH/2526/ 814,JH2526814,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 110,DI. RA 110,true,true,true,false
125,125,JH/2526/ 916,JH2526916,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 110,DI. RA 110,true,true,true,false
126,126,JH/2526/ 62,JH252662,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120,DI. RA 120,true,true,true,false
127,127,JH/2526/ 66,JH252666,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120,DI. RA 120,true,true,true,false
128,128,JH/2526/ 916,JH2526916,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120,DI. RA 120,true,true,true,false
129,129,JH/2526/ 937,JH2526937,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120,DI. RA 120,true,true,true,false
130,130,JH/2526/ 963,JH2526963,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 120,DI. RA 120,true,true,true,false
131,131,JH/2526/ 274,JH2526274,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 130,DI. RA 130,true,true,true,false
132,132,JH/2526/ 423,JH2526423,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 140,DI. RA 140,true,true,true,false
133,133,JH/2526/ 1083,JH25261083,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 140,DI. RA 140,true,true,true,false
134,134,JH/2526/ 6,JH25266,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
135,135,JH/2526/ 13,JH252613,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
136,136,JH/2526/ 38,JH252638,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
137,137,JH/2526/ 43,JH252643,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
138,138,JH/2526/ 59,JH252659,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
139,139,JH/2526/ 61,JH252661,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
140,140,JH/2526/ 74,JH252674,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
141,141,JH/2526/ 78,JH252678,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
142,142,JH/2526/ 80,JH252680,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
143,143,JH/2526/ 86,JH252686,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
144,144,JH/2526/ 105,JH2526105,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
145,145,JH/2526/ 105,JH2526105,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
146,146,JH/2526/ 118,JH2526118,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
147,147,JH/2526/ 127,JH2526127,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
148,148,JH/2526/ 135,JH2526135,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
149,149,JH/2526/ 137,JH2526137,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
150,150,JH/2526/ 148,JH2526148,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
151,151,JH/2526/ 159,JH2526159,JEWEL SALES ACCOUNT - DIAMONDS,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 15,DI. RA 15,true,true,true,false
